"filename", "language", "Ini", "C++", "C", "Properties", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_cleardisplay.c", "C", 0, 0, 8, 0, 0, 0, 0, 44, 3, 55
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_d_memory.c", "C", 0, 0, 1453, 0, 0, 0, 0, 3, 3, 1459
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_d_setup.c", "C", 0, 0, 4753, 0, 0, 0, 0, 611, 3, 5367
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_font.c", "C", 0, 0, 794, 0, 0, 0, 0, 313, 185, 1292
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_fonts.c", "C", 0, 0, 312082, 0, 0, 0, 0, 31495, 2, 343579
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_hvline.c", "C", 0, 0, 108, 0, 0, 0, 0, 118, 30, 256
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_input_value.c", "C", 0, 0, 82, 0, 0, 0, 0, 51, 18, 151
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_intersection.c", "C", 0, 0, 94, 0, 0, 0, 0, 63, 20, 177
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_kerning.c", "C", 0, 0, 41, 0, 0, 0, 0, 44, 10, 95
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_line.c", "C", 0, 0, 47, 0, 0, 0, 0, 35, 11, 93
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_ll_hvline.c", "C", 0, 0, 202, 0, 0, 0, 0, 118, 52, 372
